"external_id","week","q2","group"
"46",2,3,"labPl"
"46",7,4,"labPl"
"46",13,1,"labPl"
"46",11,1,"labPl"
"46",10,1,"labPl"
"46",3,3,"labPl"
"47",7,3,"labPl"
"47",11,2,"labPl"
"47",6,4,"labPl"
"47",12,2,"labPl"
"47",1,5,"labPl"
"47",5,3,"labPl"
"47",13,1,"labPl"
"47",4,3,"labPl"
"47",8,2,"labPl"
"47",9,1,"labPl"
"47",10,3,"labPl"
"47",3,5,"labPl"
"47",2,4,"labPl"
"48",9,3,"labPl"
"48",4,4,"labPl"
"48",8,3,"labPl"
"48",12,2,"labPl"
"48",13,3,"labPl"
"48",11,3,"labPl"
"48",2,4,"labPl"
"48",10,3,"labPl"
"48",3,4,"labPl"
"48",1,3,"labPl"
"48",7,3,"labPl"
"48",5,3,"labPl"
"48",6,3,"labPl"
"49",9,2,"labPl"
"49",12,3,"labPl"
"49",4,4,"labPl"
"49",1,4,"labPl"
"49",7,5,"labPl"
"49",2,4,"labPl"
"49",11,1,"labPl"
"49",3,3,"labPl"
"49",6,3,"labPl"
"49",5,4,"labPl"
"49",10,3,"labPl"
"49",8,2,"labPl"
"49",13,1,"labPl"
"51",2,4,"labNor"
"51",5,4,"labNor"
"51",1,4,"labNor"
"51",13,3,"labNor"
"51",10,3,"labNor"
"51",12,3,"labNor"
"51",8,2,"labNor"
"51",4,5,"labNor"
"51",3,4,"labNor"
"51",9,3,"labNor"
"51",11,3,"labNor"
"51",6,3,"labNor"
"51",7,5,"labNor"
"52",1,3,"labNor"
"52",3,4,"labNor"
"52",6,4,"labNor"
"52",12,4,"labNor"
"52",7,5,"labNor"
"52",9,3,"labNor"
"52",10,4,"labNor"
"52",11,4,"labNor"
"52",2,5,"labNor"
"52",13,3,"labNor"
"52",8,4,"labNor"
"52",4,5,"labNor"
"52",5,4,"labNor"
"53",11,2,"labNor"
"53",4,4,"labNor"
"53",2,4,"labNor"
"53",6,3,"labNor"
"53",9,3,"labNor"
"53",12,3,"labNor"
"53",3,3,"labNor"
"53",10,3,"labNor"
"53",5,4,"labNor"
"53",13,2,"labNor"
"53",1,4,"labNor"
"53",7,4,"labNor"
"53",8,3,"labNor"
"54",4,4,"labNor"
"54",2,4,"labNor"
"54",1,3,"labNor"
"54",11,2,"labNor"
"54",13,2,"labNor"
"54",7,3,"labNor"
"54",3,4,"labNor"
"54",12,2,"labNor"
"54",6,3,"labNor"
"54",8,3,"labNor"
"54",10,3,"labNor"
"54",9,3,"labNor"
"54",5,4,"labNor"
"55",2,4,"labNor"
"55",10,4,"labNor"
"55",4,5,"labNor"
"55",5,3,"labNor"
"55",3,3,"labNor"
"55",13,2,"labNor"
"55",6,4,"labNor"
"55",12,2,"labNor"
"55",8,4,"labNor"
"55",9,3,"labNor"
"55",7,5,"labNor"
"55",1,5,"labNor"
"55",11,3,"labNor"
"57",7,2,"labNor"
"57",11,1,"labNor"
"57",6,2,"labNor"
"57",12,2,"labNor"
"57",1,3,"labNor"
"57",5,3,"labNor"
"57",13,1,"labNor"
"57",4,3,"labNor"
"57",8,2,"labNor"
"57",9,2,"labNor"
"57",10,2,"labNor"
"57",3,3,"labNor"
"57",2,3,"labNor"
"58",9,2,"labNor"
"58",4,3,"labNor"
"58",8,2,"labNor"
"58",12,3,"labNor"
"58",13,2,"labNor"
"58",11,3,"labNor"
"58",2,3,"labNor"
"58",10,3,"labNor"
"58",3,3,"labNor"
"58",1,4,"labNor"
"58",7,3,"labNor"
"58",5,3,"labNor"
"58",6,3,"labNor"
"59",9,3,"labNor"
"59",12,3,"labNor"
"59",4,4,"labNor"
"59",1,4,"labNor"
"59",7,4,"labNor"
"59",2,3,"labNor"
"59",11,2,"labNor"
"59",3,2,"labNor"
"59",6,2,"labNor"
"59",5,3,"labNor"
"59",10,3,"labNor"
"59",8,3,"labNor"
"59",13,2,"labNor"
"60",1,2,"labNor"
"60",13,2,"labNor"
"60",12,2,"labNor"
"60",4,4,"labNor"
"60",8,4,"labNor"
"60",9,3,"labNor"
"60",3,3,"labNor"
"60",6,4,"labNor"
"60",7,4,"labNor"
"60",11,3,"labNor"
"60",10,3,"labNor"
"60",2,4,"labNor"
"60",5,4,"labNor"
"61",5,4,"labNor"
"61",9,2,"labNor"
"61",6,3,"labNor"
"61",4,5,"labNor"
"61",2,4,"labNor"
"61",11,3,"labNor"
"61",3,3,"labNor"
"61",1,5,"labNor"
"61",13,3,"labNor"
"61",8,5,"labNor"
"61",10,3,"labNor"
"61",7,4,"labNor"
"61",12,4,"labNor"
"62",10,5,"labNor"
"62",5,4,"labNor"
"62",8,3,"labNor"
"62",6,3,"labNor"
"62",11,2,"labNor"
"62",2,4,"labNor"
"62",1,5,"labNor"
"62",12,2,"labNor"
"62",4,5,"labNor"
"62",7,5,"labNor"
"62",9,3,"labNor"
"62",13,2,"labNor"
"62",3,4,"labNor"
"63",7,3,"labNor"
"63",2,3,"labNor"
"63",3,4,"labNor"
"63",12,2,"labNor"
"63",5,3,"labNor"
"63",4,3,"labNor"
"63",13,1,"labNor"
"63",6,3,"labNor"
"63",9,2,"labNor"
"63",8,2,"labNor"
"63",11,2,"labNor"
"63",1,3,"labNor"
"63",10,2,"labNor"
"64",9,3,"labNor"
"64",6,4,"labNor"
"64",11,3,"labNor"
"64",10,4,"labNor"
"64",3,5,"labNor"
"64",13,2,"labNor"
"64",7,5,"labNor"
"64",4,5,"labNor"
"64",5,4,"labNor"
"64",8,2,"labNor"
"64",12,3,"labNor"
"64",2,5,"labNor"
"64",1,4,"labNor"
"65",10,2,"labNor"
"65",7,4,"labNor"
"65",13,2,"labNor"
"65",3,4,"labNor"
"65",11,3,"labNor"
"65",5,3,"labNor"
"65",12,3,"labNor"
"65",1,3,"labNor"
"65",4,3,"labNor"
"65",8,2,"labNor"
"65",2,2,"labNor"
"65",9,3,"labNor"
"65",6,3,"labNor"
"66",6,3,"labNor"
"66",13,3,"labNor"
"66",1,3,"labNor"
"66",12,3,"labNor"
"66",7,4,"labNor"
"66",2,3,"labNor"
"66",5,4,"labNor"
"66",11,3,"labNor"
"66",4,4,"labNor"
"66",3,4,"labNor"
"66",9,4,"labNor"
"66",8,3,"labNor"
"66",10,3,"labNor"
"67",2,3,"labNor"
"67",12,2,"labNor"
"67",7,4,"labNor"
"67",4,4,"labNor"
"67",11,2,"labNor"
"67",8,2,"labNor"
"67",5,4,"labNor"
"67",6,4,"labNor"
"67",1,3,"labNor"
"67",13,2,"labNor"
"67",9,3,"labNor"
"67",10,3,"labNor"
"67",3,4,"labNor"
"68",7,4,"labNor"
"68",4,3,"labNor"
"68",9,2,"labNor"
"68",12,2,"labNor"
"68",5,3,"labNor"
"68",8,3,"labNor"
"68",2,4,"labNor"
"68",11,2,"labNor"
"68",10,2,"labNor"
"68",6,4,"labNor"
"68",3,4,"labNor"
"68",1,4,"labNor"
"68",13,1,"labNor"
