"external_id","week","mo","tu","we","th","fr","sa","q2","group"
"00c2c",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"023ce",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"0d293",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"27e23",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"365cd",5,3.964,3.956,2.097,2.285,3.879,3.997,5,"lts"
"54ed7",5,3.964,3.956,2.097,2.285,3.879,3.997,5,"lts"
"5542e",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"559e2",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"5870e",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"5aa56",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"5c3d1",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"7d03b",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"88df4",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"898c1",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"8caa8",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"9d7d1",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"a711f",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"b7150",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"bb4ea",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"bd209",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"c05b7",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"c42b6",5,3.964,3.956,2.097,2.285,3.879,3.997,5,"lts"
"c565b",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"d45b5",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"f1308",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"f75f6",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
"f7c29",5,3.964,3.956,2.097,2.285,3.879,3.997,3,"lts"
